rank_order,rank,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_international_outlook,scores_international_outlook_rank,scores_industry_income,scores_industry_income_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank
1,1,96.1,1,99.7,1,72.4,49,34.5,105,98.7,2,98.8,8
2,2,96,2,97.7,4,54.6,93,83.7,24,98,4,99.9,1
3,3,95.6,3,97.8,3,82.3,36,87.5,21,91.4,11,99.9,2
4,4,94.3,4,98.3,2,29.5,156,64.3,33,98.1,3,99.2,6
5,5,94.2,5,90.9,6,70.3,53,-,164,95.4,5,99.9,3
6,6,91.2,7,88.2,9,77.2,42,73.5,28,93.9,8,95.1,22
6,6,91.2,6,90.5,7,77.7,41,57,43,94.1,7,94,23
8,8,91.1,8,84.2,11,39.6,128,-,172,99.3,1,97.8,11
9,9,90.6,9,89.2,8,90,19,92.9,18,94.5,6,88.3,44
10,10,89.5,10,92.1,5,59.2,82,-,199,89.7,12,91.5,35
11,11,87.7,11,83,13,48.1,106,-,174,92.9,9,93.2,26
12,12,86.9,12,79.1,16,62.8,70,-,177,87.9,16,96.9,13
13,13,86.4,13,80.9,15,58.5,84,100,2,89.2,13,92.3,31
14,14,83.9,14,82.2,14,62.4,75,34.7,104,88.8,15,88.1,45
15,15,83.4,15,77.5,18,93.7,10,-,154,87.8,18,83.1,59
15,15,83.4,16,83.9,12,53.3,95,59.6,40,89.1,14,84.1,52
17,17,82,17,75.8,20,-,199,-,190,87.9,17,82.2,62
18,18,81,18,73.8,23,90.9,17,-,148,73.8,29,92.6,28
19,19,79.5,19,71.8,24,32.9,141,43.7,66,82.7,19,93.6,24
20,20,79.3,20,70.3,27,39.1,129,53.7,48,79.3,22,95.7,18
21,21,79.2,21,68.4,30,91.4,14,56.5,45,71.4,35,96.1,15
22,22,78.4,22,74,22,90.8,18,39,86,81.6,20,80.6,67
23,23,78,23,68.2,31,49,105,32.8,109,77.1,24,95.9,16
24,24,76.5,24,66.8,36,49.4,104,100,1,71.5,34,92.3,30
25,25,75.9,25,64.5,44,60.5,79,-,162,68.8,39,95.3,21
26,26,75.6,26,87.7,10,18.4,187,-,189,91.9,10,58.1,158
27,27,75.3,27,67.9,33,73.2,47,95.1,17,72.6,31,83.2,58
28,28,75.1,28,69.5,28,32.6,142,100,6,62.5,51,96.5,14
29,29,75,29,56.6,76,64.3,62,89.8,20,68,40,98.8,9
30,30,73.8,31,70.9,26,21.5,178,50.2,52,75.1,26,85,49
30,30,73.8,30,65.1,42,93.3,12,42.6,69,74.8,28,80.3,68
32,32,73.2,32,59.8,59,31.6,147,51.8,50,76.3,25,90.8,39
33,33,73,33,68.1,32,55.9,91,-,181,80.9,21,72.9,92
34,34,72.9,34,65.5,39,97.8,4,40.5,77,72.6,32,78.7,74
35,35,71.7,35,69,29,85.9,29,-,158,74.9,27,69,109
36,36,71,36,58.7,64,88,22,47.7,58,69.2,37,83.3,57
37,37,70.7,37,76.4,19,68.6,55,98.6,12,61.3,57,72.2,95
38,38,69.9,38,58.9,63,56.4,89,-,197,63,49,88.6,43
39,39,69.5,39,57.9,67,77.9,39,-,151,56.1,74,91.4,37
